City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
122,Asau,RO,46.4333,26.4,73.96,69,18,6.38,few clouds
123,Lac Du Bonnet,CA,50.2536,-96.0612,79.59,29,20,5.21,few clouds
124,Ribeira Grande,PT,38.5167,-28.7,73.15,95,67,12.66,broken clouds
125,Ludvika,SE,60.1496,15.1878,53.33,96,98,5.93,light rain
126,Quang Ngai,VN,15.1167,108.8,81.84,71,100,3.96,overcast clouds
127,Torbay,CA,47.6666,-52.7314,63.57,83,42,5.01,scattered clouds
128,Bandarban,BD,22.1965,92.2262,75.0,98,100,2.06,overcast clouds
129,Costinesti,RO,43.95,28.6333,79.02,86,0,12.46,clear sky
130,Lebu,CL,-37.6167,-73.65,49.69,79,40,18.39,scattered clouds
131,Marystown,CA,47.1666,-55.1483,57.92,90,47,10.13,scattered clouds
132,Nanortalik,GL,60.1432,-45.2371,48.42,78,100,10.8,overcast clouds
133,Bikaner,IN,28.0167,73.3,83.71,72,98,15.93,overcast clouds
134,Namie,JP,37.4833,141.0,87.98,67,13,1.01,few clouds
135,Sobolevo,RU,54.4299,31.8996,65.7,80,100,6.29,overcast clouds
136,Luganville,VU,-15.5333,167.1667,75.94,55,39,8.55,scattered clouds
137,Faya,SA,18.3851,42.4509,63.12,67,98,4.43,overcast clouds
138,Provideniya,RU,64.3833,-173.3,44.71,76,90,20.13,overcast clouds
139,Mayo,US,38.8876,-76.5119,78.12,91,20,1.99,few clouds
140,Fairbanks,US,64.8378,-147.7164,81.1,53,75,0.0,broken clouds
141,Souillac,MU,-20.5167,57.5167,66.36,70,30,12.3,scattered clouds
142,Christchurch,NZ,-43.5333,172.6333,54.32,83,90,8.01,overcast clouds
143,Hervey Bay,AU,-25.2986,152.8535,76.03,86,2,4.0,clear sky
144,Port Elizabeth,ZA,-33.918,25.5701,58.1,81,44,18.77,scattered clouds
145,Atar,MR,20.5169,-13.0499,90.46,39,50,11.18,scattered clouds
146,Arraial Do Cabo,BR,-22.9661,-42.0278,66.15,75,14,14.36,few clouds
147,Akdagmadeni,TR,39.6603,35.8836,55.42,90,0,4.25,clear sky
148,Biltine,TD,14.5333,20.9167,71.91,82,100,12.59,overcast clouds
149,Buldana,IN,20.5333,76.1833,71.83,82,96,15.46,overcast clouds
150,Nouadhibou,MR,20.931,-17.0347,69.82,86,3,16.26,clear sky
151,Cascais,PT,38.6979,-9.4215,70.5,82,44,4.0,scattered clouds
152,Port Blair,IN,11.6667,92.75,81.99,82,100,18.84,overcast clouds
153,Belaya Gora,RU,68.5333,146.4167,50.25,43,4,6.15,clear sky
154,Sampit,ID,-2.5333,112.95,76.15,91,66,1.36,broken clouds
155,Fortuna,US,40.5982,-124.1573,69.93,73,20,3.0,few clouds
156,Anori,BR,-3.7728,-61.6442,78.57,53,57,1.66,broken clouds
157,Hobyo,SO,5.3505,48.5268,77.09,78,12,23.64,few clouds
158,Pevek,RU,69.7008,170.3133,34.29,92,100,16.71,overcast clouds
159,Kerpen,DE,50.8667,6.7,60.26,88,53,4.59,broken clouds
160,Plettenberg Bay,ZA,-34.0527,23.3716,58.66,81,81,7.76,light rain
161,El Espinal,MX,16.3333,-94.0667,80.73,81,94,4.61,overcast clouds
162,Mabaruma,GY,8.2,-59.7833,72.73,99,29,2.48,scattered clouds
163,Kununurra,AU,-15.7667,128.7333,80.58,61,30,1.14,scattered clouds
164,Boffa,GN,10.1667,-14.0333,74.93,94,93,5.17,light rain
165,Moussoro,TD,13.6408,16.4901,81.03,71,99,10.31,overcast clouds
166,Yellowknife,CA,62.456,-114.3525,86.29,30,0,6.58,clear sky
167,Keffi,NG,8.8486,7.8736,70.0,96,100,1.61,overcast clouds
168,Sechura,PE,-5.5569,-80.8222,67.71,72,4,17.43,clear sky
169,Husavik,IS,66.0449,-17.3389,53.92,70,67,1.19,light rain
170,Raymondville,US,26.4815,-97.7831,92.59,49,93,17.36,overcast clouds
171,Liverpool,GB,53.4106,-2.9779,59.77,78,20,4.61,few clouds
172,Lorengau,PG,-2.0226,147.2712,85.71,69,30,11.9,scattered clouds
173,Risaralda,CO,5.1665,-75.766,61.63,93,76,1.97,broken clouds
174,Sept-Iles,CA,50.2001,-66.3821,62.26,79,95,3.0,overcast clouds
175,Ancud,CL,-41.8697,-73.8203,47.73,84,60,3.15,broken clouds
176,Sao Filipe,CV,14.8961,-24.4956,75.69,77,10,4.41,clear sky
177,Lagos,NG,6.5833,3.75,74.75,90,84,3.29,broken clouds
178,Dikson,RU,73.5069,80.5464,40.66,99,99,9.08,overcast clouds
